DEPARTAMENTO,INDICADOR,2016,2017,2018
AMAZONAS,TASA DE DESEMPLEO,1.4,1.6,1.2
ANCASH,TASA DE DESEMPLEO,2.9,2.9,3.1
APURIMAC,TASA DE DESEMPLEO,1.9,1.8,1.9
AREQUIPA,TASA DE DESEMPLEO,4.9,4.3,3.8
AYACUCHO,TASA DE DESEMPLEO,3.5,3.1,2.1
CAJAMARCA,TASA DE DESEMPLEO,2.5,1.9,2.4
CALLAO,TASA DE DESEMPLEO,6.0,6.4,7.0
CUSCO,TASA DE DESEMPLEO,3.3,2.8,2.9
HUANCAVELICA,TASA DE DESEMPLEO,1.2,2.4,2.9
HUANUCO,TASA DE DESEMPLEO,2.2,3.1,1.9
ICA,TASA DE DESEMPLEO,2.3,2.8,2.1
JUNIN,TASA DE DESEMPLEO,4.1,2.1,2.4
LA LIBERTAD,TASA DE DESEMPLEO,3.3,2.9,3.5
LAMBAYEQUE,TASA DE DESEMPLEO,3.0,3.6,3.2
LIMA,TASA DE DESEMPLEO,6.3,6.4,6.0
LORETO,TASA DE DESEMPLEO,3.0,2.3,2.5
MADRE DE DIOS,TASA DE DESEMPLEO,2.8,1.5,1.5
MOQUEGUA,TASA DE DESEMPLEO,5.1,4.3,3.7
PASCO,TASA DE DESEMPLEO,4.1,4.1,3.6
PIURA,TASA DE DESEMPLEO,3.1,2.8,2.9
PUNO,TASA DE DESEMPLEO,3.1,3.0,3.2
SAN MARTIN,TASA DE DESEMPLEO,1.7,2.3,1.0
TACNA,TASA DE DESEMPLEO,3.7,4.2,2.8
TUMBES,TASA DE DESEMPLEO,3.4,4.2,5.0
UCAYALI,TASA DE DESEMPLEO,1.9,2.7,2.7
